Type,Typre_Description,Colony,Prop_dead_S1,Prop_dead_S2,Prop_dead_S3,Prop_dead_S4,Prop_dead_S5,Prop_dead_S6,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P094,0.05,0.05,0.10,0.30,0.30,,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P095,0.05,0.00,0.00,0.60,0.50,0.50,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P096,0.05,0.05,0.30,0.20,0.33,0.65,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P097,0.05,0.00,0.05,0.75,0.60,0.90,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P098,0.10,0.15,0.50,0.50,0.55,0.50,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P099,0.05,0.05,0.00,0.05,0.00,0.15,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P111,0.05,0.05,0.05,0.05,0.05,0.10,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P113,0.05,0.10,0.10,0.80,0.80,0.65,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P115,0.15,0.20,0.20,0.55,0.75,,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P116,0.00,0.00,0.05,0.20,1.00,,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P125,0.05,0.05,0.10,0.10,0.05,0.35,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P127,0.90,0.80,0.75,0.80,0.90,0.80,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P137,0.00,0.00,0.00,0.05,0.00,0.10,,,,,,,,,,,,,,
